start_time,end_time,open,close,low,high,h_open,h_close,h_low,h_high,finish
2023-06-03 02:25:00,2023-06-03 02:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 02:30:00,2023-06-03 02:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 02:35:00,2023-06-03 02:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 02:40:00,2023-06-03 02:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 02:45:00,2023-06-03 02:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 02:50:00,2023-06-03 02:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 02:55:00,2023-06-03 02:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:00:00,2023-06-03 03:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:05:00,2023-06-03 03:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:10:00,2023-06-03 03:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:15:00,2023-06-03 03:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:20:00,2023-06-03 03:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:25:00,2023-06-03 03:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:30:00,2023-06-03 03:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:35:00,2023-06-03 03:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:40:00,2023-06-03 03:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:45:00,2023-06-03 03:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:50:00,2023-06-03 03:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 03:55:00,2023-06-03 03:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:00:00,2023-06-03 04:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:05:00,2023-06-03 04:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:10:00,2023-06-03 04:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:15:00,2023-06-03 04:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:20:00,2023-06-03 04:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:25:00,2023-06-03 04:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:30:00,2023-06-03 04:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:35:00,2023-06-03 04:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:40:00,2023-06-03 04:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:45:00,2023-06-03 04:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:50:00,2023-06-03 04:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 04:55:00,2023-06-03 04:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:00:00,2023-06-03 05:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:05:00,2023-06-03 05:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:10:00,2023-06-03 05:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:15:00,2023-06-03 05:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:20:00,2023-06-03 05:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:25:00,2023-06-03 05:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:30:00,2023-06-03 05:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:35:00,2023-06-03 05:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:40:00,2023-06-03 05:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:45:00,2023-06-03 05:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:50:00,2023-06-03 05:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 05:55:00,2023-06-03 05:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:00:00,2023-06-03 06:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:05:00,2023-06-03 06:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:10:00,2023-06-03 06:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:15:00,2023-06-03 06:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:20:00,2023-06-03 06:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:25:00,2023-06-03 06:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:30:00,2023-06-03 06:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:35:00,2023-06-03 06:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:40:00,2023-06-03 06:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:45:00,2023-06-03 06:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:50:00,2023-06-03 06:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 06:55:00,2023-06-03 06:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:00:00,2023-06-03 07:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:05:00,2023-06-03 07:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:10:00,2023-06-03 07:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:15:00,2023-06-03 07:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:20:00,2023-06-03 07:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:25:00,2023-06-03 07:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:30:00,2023-06-03 07:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:35:00,2023-06-03 07:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:40:00,2023-06-03 07:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:45:00,2023-06-03 07:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:50:00,2023-06-03 07:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 07:55:00,2023-06-03 07:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:00:00,2023-06-03 08:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:05:00,2023-06-03 08:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:10:00,2023-06-03 08:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:15:00,2023-06-03 08:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:20:00,2023-06-03 08:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:25:00,2023-06-03 08:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:30:00,2023-06-03 08:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:35:00,2023-06-03 08:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:40:00,2023-06-03 08:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:45:00,2023-06-03 08:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:50:00,2023-06-03 08:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 08:55:00,2023-06-03 08:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:00:00,2023-06-03 09:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:05:00,2023-06-03 09:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:10:00,2023-06-03 09:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:15:00,2023-06-03 09:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:20:00,2023-06-03 09:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:25:00,2023-06-03 09:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:30:00,2023-06-03 09:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:35:00,2023-06-03 09:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:40:00,2023-06-03 09:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:45:00,2023-06-03 09:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:50:00,2023-06-03 09:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 09:55:00,2023-06-03 09:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:00:00,2023-06-03 10:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:05:00,2023-06-03 10:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:10:00,2023-06-03 10:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:15:00,2023-06-03 10:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:20:00,2023-06-03 10:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:25:00,2023-06-03 10:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:30:00,2023-06-03 10:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:35:00,2023-06-03 10:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:40:00,2023-06-03 10:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:45:00,2023-06-03 10:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:50:00,2023-06-03 10:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 10:55:00,2023-06-03 10:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:00:00,2023-06-03 11:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:05:00,2023-06-03 11:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:10:00,2023-06-03 11:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:15:00,2023-06-03 11:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:20:00,2023-06-03 11:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:25:00,2023-06-03 11:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:30:00,2023-06-03 11:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:35:00,2023-06-03 11:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:40:00,2023-06-03 11:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:45:00,2023-06-03 11:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:50:00,2023-06-03 11:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 11:55:00,2023-06-03 11:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:00:00,2023-06-03 12:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:05:00,2023-06-03 12:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:10:00,2023-06-03 12:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:15:00,2023-06-03 12:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:20:00,2023-06-03 12:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:25:00,2023-06-03 12:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:30:00,2023-06-03 12:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:35:00,2023-06-03 12:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:40:00,2023-06-03 12:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:45:00,2023-06-03 12:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:50:00,2023-06-03 12:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 12:55:00,2023-06-03 12:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:00:00,2023-06-03 13:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:05:00,2023-06-03 13:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:10:00,2023-06-03 13:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:15:00,2023-06-03 13:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:20:00,2023-06-03 13:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:25:00,2023-06-03 13:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:30:00,2023-06-03 13:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:35:00,2023-06-03 13:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:40:00,2023-06-03 13:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:45:00,2023-06-03 13:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:50:00,2023-06-03 13:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 13:55:00,2023-06-03 13:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:00:00,2023-06-03 14:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:05:00,2023-06-03 14:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:10:00,2023-06-03 14:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:15:00,2023-06-03 14:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:20:00,2023-06-03 14:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:25:00,2023-06-03 14:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:30:00,2023-06-03 14:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:35:00,2023-06-03 14:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:40:00,2023-06-03 14:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:45:00,2023-06-03 14:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:50:00,2023-06-03 14:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 14:55:00,2023-06-03 14:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:00:00,2023-06-03 15:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:05:00,2023-06-03 15:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:10:00,2023-06-03 15:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:15:00,2023-06-03 15:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:20:00,2023-06-03 15:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:25:00,2023-06-03 15:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:30:00,2023-06-03 15:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:35:00,2023-06-03 15:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:40:00,2023-06-03 15:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:45:00,2023-06-03 15:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:50:00,2023-06-03 15:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 15:55:00,2023-06-03 15:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:00:00,2023-06-03 16:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:05:00,2023-06-03 16:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:10:00,2023-06-03 16:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:15:00,2023-06-03 16:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:20:00,2023-06-03 16:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:25:00,2023-06-03 16:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:30:00,2023-06-03 16:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:35:00,2023-06-03 16:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:40:00,2023-06-03 16:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:45:00,2023-06-03 16:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:50:00,2023-06-03 16:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 16:55:00,2023-06-03 16:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:00:00,2023-06-03 17:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:05:00,2023-06-03 17:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:10:00,2023-06-03 17:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:15:00,2023-06-03 17:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:20:00,2023-06-03 17:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:25:00,2023-06-03 17:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:30:00,2023-06-03 17:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:35:00,2023-06-03 17:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:40:00,2023-06-03 17:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:45:00,2023-06-03 17:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:50:00,2023-06-03 17:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 17:55:00,2023-06-03 17:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:00:00,2023-06-03 18:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:05:00,2023-06-03 18:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:10:00,2023-06-03 18:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:15:00,2023-06-03 18:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:20:00,2023-06-03 18:24:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:25:00,2023-06-03 18:29:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:30:00,2023-06-03 18:34:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:35:00,2023-06-03 18:39:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:40:00,2023-06-03 18:44:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:45:00,2023-06-03 18:49:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:50:00,2023-06-03 18:54:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 18:55:00,2023-06-03 18:59:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 19:00:00,2023-06-03 19:04:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 19:05:00,2023-06-03 19:09:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 19:10:00,2023-06-03 19:14:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
2023-06-03 19:15:00,2023-06-03 19:19:59,319.408,319.408,319.408,319.408,319.408,319.408,319.408,319.408,True
